name,discount,url,number,sold_number,text,,,6
SHEIN EZwear Tie Dye Drop Shoulder Oversized Tee,0.01,//img.ltwebstatic.com/images3_pi/2022/06/24/1656051560e4c4c826c630fda1ee1d9d08b96d1ec9_thumbnail_405x552.jpg,14,720,"['Khaki ', 'Plain ', 'Spaghetti Strap ', 'Sleeveless ', 'Regular Fit ', 'Slight Stretch ', 'Fabric ', '100% Polyester ', 'Hand wash or professional dry clean ', 'Yes ']",,,
SHEIN EZwear Ripped Cutout Wide Leg Jeans,0.01,//img.ltwebstatic.com/images3_pi/2021/09/16/16317602802a1643aed0b907e0526a2457295a55bb_thumbnail_405x552.jpg,38,613,"['Light Wash ', 'Plain ', 'Wide Leg ', 'Zipper Fly ', 'Button, Cut Out, Pocket, Ripped, Zipper, Washed ', 'High Waist ', 'Long ', 'Regular Fit ', 'Non-Stretch ', 'Denim ', '82% Cotton, 14% Viscose, 4% Polyester ', 'Machine wash, do not dry clean ', 'Unlined ', 'No ']",,,
SHEIN Privé Solid Button Front Blazer & Pants,0.01,//img.ltwebstatic.com/images3_pi/2023/04/20/16819617156326ca960277287e25096eff0dccab91_thumbnail_405x552.jpg,59,792,"['Black ', 'Elegant ', 'Plain ', 'Zipper, Pocket, Button ', 'Fabric ', 'Regular ', '100% Polyester ', 'Pants ', 'Unlined ', 'Lapel ', 'Long Sleeve ', 'Regular Sleeve ', 'Regular Fit ', 'Non-Stretch ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN Privé Graphic Print Plisse Skirt,0.01,//img.ltwebstatic.com/images3_pi/2023/03/07/1678167651217b710c3e009d1de9c35b04b081a785_thumbnail_405x552.jpg,38,1026,"['Multicolor ', 'Elegant ', 'Graphic ', 'Pleated ', 'High Waist ', 'Long ', 'Pleated ', 'High Stretch ', 'Knitted Fabric ', '100% Polyester ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN Essnce Solid Zip Up Straight Leg Pants,0.01,//img.ltwebstatic.com/images3_pi/2021/10/19/1634607178057d99a498f759b0257656af45002f71_thumbnail_405x552.jpg,53,713,"['Black ', 'Plain ', 'Straight Leg ', 'High Waist ', 'Button, Zipper ', 'Long ', 'Regular Fit ', 'Zipper Fly ', 'Non-Stretch ', 'Fabric ', '93% Polyester, 7% Elastane ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ', '100% Polyester ']",,,
SHEIN EZwear High Waist Patch Detail Raw Cut Flare Leg Jeans,0.01,//img.ltwebstatic.com/images3_pi/2022/06/21/165577534178041964ede51c84d45740ee86c859ff_thumbnail_405x552.jpg,51,801,"['Black ', 'Elegant ', 'Plain ', 'Flare Leg ', 'Elastic Waist ', 'High Waist ', 'Long ', 'Regular Fit ', 'Slight Stretch ', 'Fabric ', '95% Cotton, 5% Elastane ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
SHEIN EZwear Balletcore Solid Flare Leg Sweatpants,0.01,//img.ltwebstatic.com/images3_pi/2023/01/10/167332710614815a752a12e83b3369f9c5d6287a61_thumbnail_405x552.jpg,5,1049,"['Medium Wash ', 'Plain ', 'Flare Leg ', 'Zipper Fly ', 'Button, Pocket, Zipper ', 'High Waist ', 'Long ', 'Regular Fit ', 'High Stretch ', 'Denim ', '70% Cotton, 28% Polyester, 2% Elastane ', 'Machine wash, do not dry clean ', 'Unlined ', 'No ']",,,
SHEIN VCAY Allover Floral Knot Split Thigh A-line Dress,0.01,//img.ltwebstatic.com/images3_pi/2021/11/19/163730622656f7c3df1fa6c5d88e752c257f0c0205_thumbnail_405x552.jpg,41,938,"['Light Grey ', 'Plain ', 'Flare Leg ', 'High Waist ', 'Long ', 'Regular Fit ', 'Elastic Waist ', 'Slight Stretch ', 'Knitted Fabric ', '95% Polyester, 5% Elastane ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
SHEIN LUNE Color Block Cable Knit Cardigan,0.01,//img.ltwebstatic.com/images3_pi/2022/10/08/1665196421051a521af529da7838cafdbefd0a0f83_thumbnail_405x552.jpg,45,719,"['Blue and White ', 'Boho ', 'Floral, All Over Print ', 'Split Thigh, Ruched Bust ', 'Square Neck ', 'A Line ', 'Short Sleeve ', 'Puff Sleeve ', 'High Waist ', 'Slit ', 'Long ', 'Regular Fit ', 'Non-Stretch ', 'Fabric ', '100% Polyester ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN ICON Solid Super Crop Sweater,0,//img.ltwebstatic.com/images3_pi/2022/09/22/1663823143aee617873c5a5ccbb6625e480f6b1e1d_thumbnail_405x552.jpg,29,440,"['Multicolor ', 'Casual ', 'Colorblock ', 'Button Front ', 'V neck ', 'Short ', 'Long Sleeve ', 'Regular Sleeve ', 'Regular Fit ', 'Slight Stretch ', 'Fabric ', '100% Polyester ', 'Machine wash or professional dry clean ', 'Semi-Sheer ']",,,
SHEIN EZwear Cut Out Ripped Frayed Carrot Jeans,0.01,//img.ltwebstatic.com/images3_pi/2023/02/21/1676949192801bbd638f87c1fe606dfca803e855cd_thumbnail_405x552.jpg,62,1181,"['Apricot ', 'Casual ', 'Plain ', 'Crop ', 'Pullovers ', 'Round Neck ', 'Long Sleeve ', 'Flounce Sleeve ', 'Asymmetrical ', 'Slim Fit ', 'High Stretch ', 'Fabric ', '83% Polyester, 17% Viscose ', 'Hand wash or professional dry clean ', 'Yes ']",,,
SHEIN VCAY Floral Print Knot Straps Shirred Bodice Cami Dress,0.01,//img.ltwebstatic.com/images3_pi/2021/06/02/1622642568a5f87628cfbca79ac90bd785cb744a84_thumbnail_405x552.jpg,56,1137,"['Black ', 'Plain ', 'Tapered/Carrot ', 'Zipper Fly ', 'Button, Cut Out, Pocket, Ripped, Zipper ', 'Natural ', 'Long ', 'Regular Fit ', 'Non-Stretch ', 'Denim ', '70% Cotton, 24% Polyester, 6% Viscose ', 'Machine wash, do not dry clean ', 'Unlined ', 'No ']",,,
SHEIN ICON Letter Graphic Zip Up Raglan Sleeve Hoodie,0.01,//img.ltwebstatic.com/images3_pi/2022/08/22/166115883183595b36e1f309f9b75cb1bbcb3a1548_thumbnail_405x552.jpg,58,957,"['Blue and White ', 'Boho ', 'Floral ', 'Knot, Shirred ', 'Straps ', 'Cami ', 'Sleeveless ', 'High Waist ', 'Flared ', 'Long ', 'Regular Fit ', 'Slight Stretch ', 'Fabric ', '100% Polyester ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN VCAY Shirred Waist Wide Leg Pants,0.01,//img.ltwebstatic.com/images3_pi/2022/06/18/1655541354230147425ee7e4d3eb2375e101bd40fe_thumbnail_405x552.jpg,40,519,"['Royal Blue ', 'Casual ', 'Letter ', 'Pocket, Zipper ', 'Zip Up ', 'Hooded ', 'Long Sleeve ', 'Raglan Sleeve ', 'Regular ', 'Regular Fit ', 'High Stretch ', 'Fabric ', '95% Polyester, 5% Elastane ', 'Machine wash or professional dry clean ', 'No ']",,,
SHEIN EZwear High Waist Ripped Wide Leg Jeans,0,//img.ltwebstatic.com/images3_pi/2022/11/18/1668758819011a649a39fceb4cbcdcdefd629c5cfe_thumbnail_405x552.jpg,48,448,"['Black ', 'Boho ', 'Ditsy Floral ', 'Split Thigh, Tie Front, Ruched Bust ', 'Spaghetti Strap ', 'Cami ', 'Sleeveless ', 'High Waist ', 'Slit ', 'Midi ', 'Regular Fit ', 'Non-Stretch ', 'Woven Fabric ', '100% Polyester ', 'Hand wash,do not dry clean ', 'No ']",,,
SHEIN VCAY Ditsy Floral Print Knot Front Split Thigh Cami Dress,0.01,//img.ltwebstatic.com/images3_pi/2023/02/21/167697608873ef143c627b525a65f2c66d6c4909cc_thumbnail_405x552.jpg,52,1211,"['Black ', 'Casual ', 'Plain ', 'Wide Leg ', 'Elastic Waist ', 'Shirred ', 'High Waist ', 'Long ', 'Loose ', 'Non-Stretch ', 'Fabric ', '100% Viscose ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
SHEIN VCAY Ditsy Floral Split Thigh Skirt,0.01,//img.ltwebstatic.com/images3_pi/2021/07/06/1625548953f497e4e612496da87f01a605fc89a5ff_thumbnail_405x552.jpg,40,850,"['Red ', 'Boho ', 'Paisley, Tribal ', 'Wide Leg ', 'Elastic Waist ', 'High Waist ', 'Long ', 'Loose ', 'Non-Stretch ', 'Woven Fabric ', '95% Polyester, 5% Elastane ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
SHEIN VCAY Paisley Print Wide Leg Pants,0.01,//img.ltwebstatic.com/images3_pi/2022/12/29/1672295541b86d033de4bf3615aef9812d7ddf7759_thumbnail_405x552.jpg,44,668,"['Black ', 'Casual ', 'Plain ', 'Flare Leg ', 'Elastic Waist ', 'High Waist ', 'Long ', 'Regular Fit ', 'Slight Stretch ', 'Fabric ', '95% Cotton, 5% Elastane ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
SHEIN Essnce Drop Shoulder Tee & Biker Shorts,0.01,//img.ltwebstatic.com/images3_pi/2022/08/22/16611406955e321ce5727bd08fc71788130d8f1719_thumbnail_405x552.jpg,40,863,"['Light Wash ', 'Plain ', 'Wide Leg ', 'Baggy ', 'Zipper Fly ', 'Button, Pocket, Ripped, Zipper ', 'High Waist ', 'Extra Long ', 'Loose ', 'Non-Stretch ', 'Denim ', '86% Cotton, 8% Viscose, 6% Polyester ', 'Machine wash, do not dry clean ', 'Unlined ', 'No ']",,,
SHEIN EZwear 3 PCS Round Neck Tank Top,0,//img.ltwebstatic.com/images3_pi/2021/07/12/1626058695f488299f6534b0e59318521af75a3c5f_thumbnail_405x552.jpg,30,458,"['Black and White ', 'Boho ', 'Ditsy Floral ', 'Split Thigh ', 'High Waist ', 'Midi ', 'Regular Fit ', 'Slit ', 'Non-Stretch ', 'Fabric ', '100% Polyester ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
DAZY Batwing Sleeve Ribbed Knit Duster Cardigan,0,//img.ltwebstatic.com/images3_pi/2022/08/11/16602016942bc70c58853ce9db51830abc5311e2ab_thumbnail_405x552.jpg,49,410,"['Apricot ', 'Casual ', 'Plain ', 'Rib-Knit ', 'Round Neck ', 'Tee ', 'Biker Shorts ', 'Fabric ', '60% Polyester, 35% Viscose, 5% Elastane ', 'Three Quarter Length Sleeve ', 'Drop Shoulder ', 'Regular Fit ', 'High Stretch ', 'Hand wash,do not dry clean ', 'No ']",,,
SHEIN EZwear Wide Waistband Flare Leg Pants,0.01,//img.ltwebstatic.com/images3_pi/2021/11/05/1636075096a5db5298f41c9ca73f269bc36806f4e1_thumbnail_405x552.jpg,33,773,"['Multicolor ', 'Casual ', 'Plain ', 'Tank ', 'Round Neck ', 'Rib-Knit ', 'Crop ', 'Slim Fit ', 'Medium Stretch ', 'Machine wash or professional dry clean ', 'Knitted Fabric ', '94% Cotton, 6% Elastane ', 'No ']",,,
SHEIN EZwear 2pcs Wide Waistband Biker Shorts,0.01,//img.ltwebstatic.com/images3_pi/2022/01/14/164214943295b3fc549125ced20c28926259aa0881_thumbnail_405x552.jpg,56,1365,"['White ', 'Casual ', 'Plain ', 'Rib-Knit ', 'Crop ', 'Long Sleeve ', 'Batwing Sleeve ', 'Asymmetrical ', 'Regular Fit ', 'Medium Stretch ', 'Fabric ', '100% Acrylic ', 'Hand wash,do not dry clean ', 'No ']",,,
Tropical Print Cut-out One Piece Swimsuit,0.01,//img.ltwebstatic.com/images3_pi/2022/03/01/16461246232853f46ef1d0effcdb529733235ff71c_thumbnail_405x552.jpg,52,1411,"['Multicolor ', 'Casual ', 'Plain ', 'High Waist ', 'Short ', 'Biker Shorts ', 'High Stretch ', 'Fabric ', '97% Polyester, 3% Elastane ', 'Hand wash or professional dry clean ', 'No ']",,,
Random Plant Print Bikini Set Tie Back Wireless Bra Top & Hipster Bikini Bottom 2 Piece Swimsuit,0,//img.ltwebstatic.com/images3_pi/2022/04/06/1649236600ec838affdec8c3169c1b9bf93bce81aa_thumbnail_405x552.jpg,58,351,"['Green ', 'Boho ', 'Tropical ', 'Wireless Bra ', 'Scoop Neck ', 'High Stretch ', 'Fabric ', '85% Polyester, 15% Elastane ', 'Machine wash, do not dry clean ', 'Lined ', 'Removable Padding ']",,,
SHEIN Qutie Letter Graphic Drop Shoulder Tee,0,//img.ltwebstatic.com/images3_pi/2022/06/28/1656381369f1572f6b81c298e2628ada902742a2f2_thumbnail_405x552.jpg,14,329,"['Multicolor ', 'Boho ', 'Plants ', 'Hipsters ', 'Wireless Bra ', 'Spaghetti Strap ', 'High Stretch ', 'Machine wash, do not dry clean ', 'Removable Padding ', 'Fabric ', '95% Polyester, 5% Elastane ', 'Lined ']",,,
SHEIN EZwear Solid Elastic Waist Sweatpants,0,//img.ltwebstatic.com/images3_pi/2021/12/01/1638342518e6af0ceedee47ec2235362d739dcdb2e_thumbnail_405x552.jpg,5,269,"['Coral Pink ', 'Casual ', 'Letter ', 'Round Neck ', 'Half Sleeve ', 'Drop Shoulder ', 'Long ', 'Oversized ', 'High Stretch ', 'Fabric ', '95% Polyester, 5% Elastane ', 'Machine wash, do not dry clean ', 'No ']",,,
SHEIN Frenchy High Waist Slant Pocket Boyfriend Jeans,0,//img.ltwebstatic.com/images3_pi/2022/08/24/16613127471d1947e2be69648ca8f677de5c285ba2_thumbnail_405x552.jpg,47,394,"['Light Grey ', 'Plain ', 'Jogger ', 'Natural ', 'Long ', 'Regular Fit ', 'Elastic Waist ', 'Slight Stretch ', 'Fabric ', '100% Polyester ', 'Machine wash or professional dry clean ', 'Unlined ', 'No ']",,,
Rib Binding Trim Halter Micro Triangle Bikini Swimsuit,0,//img.ltwebstatic.com/images3_pi/2023/05/04/1683170671e6f9e09c85fdad27a04cfe2e9d0e0321_thumbnail_405x552.jpg,55,461,"['White ', 'Sexy ', 'Plain ', 'Ring, Contrast Binding ', 'Thongs ', 'Micro Bra ', 'Halter ', 'High Stretch ', 'Machine wash, do not dry clean ', 'Removable Padding ', 'Fabric ', '95% Polyester, 5% Elastane ', 'Lined ']",,,
SHEIN Clasi Floral Print Batwing Sleeve Blouse,0.01,//img.ltwebstatic.com/images3_pi/2023/02/17/167663023994da9a6a505b64deca93817c808fed87_thumbnail_405x552.jpg,6,517,"['Dark Green ', 'Sexy ', 'Plain ', 'High Cut, Tie Side, Thongs ', 'Triangle ', 'Spaghetti Strap ', '3 Piece Set ', 'High Stretch ', 'Fabric ', '80% Polyamide, 20% Elastane ', 'Machine wash, do not dry clean ', 'Lined ', 'Removable Padding ']",,,
SHEIN EZwear Roll Up Hem Ripped Denim Shorts,0.01,//img.ltwebstatic.com/images3_pi/2022/04/24/165076958468ff3f07bc65e3b6f278f6dc9c9b21b7_thumbnail_405x552.jpg,53,1152,"['Medium Wash ', 'Plain ', 'Tapered/Carrot ', 'Boyfriend Fit ', 'Zipper Fly ', 'Button, Pocket, Zipper ', 'High Waist ', 'Long ', 'Regular Fit ', 'Non-Stretch ', 'Denim ', '98% Cotton, 1% Polyester, 1% Viscose ', 'Machine wash, do not dry clean ', 'Unlined ', 'No ']",,,
SHEIN EZwear Curvy High Waist Flare Leg Jeans,0.01,//img.ltwebstatic.com/images3_pi/2023/01/28/167489029313294aec9ae536c52b676e2d0bc5af33_thumbnail_405x552.jpg,62,541,"['White ', 'Plain ', 'Flare Leg ', 'Bootcut ', 'Zipper Fly ', 'Button, Pocket, Zipper ', 'High Waist ', 'Extra Long ', 'Skinny ', 'High Stretch ', 'Denim ', '85% Cotton, 13% Polyester, 2% Elastane ', 'Machine wash, do not dry clean ', 'No ']",,,
3pack Triangle Tie Side Thong Bikini Swimsuit,0.01,//img.ltwebstatic.com/images3_pi/2022/05/10/16521532608ce9fe99508f25b78d597409a4fafe7b_thumbnail_405x552.jpg,62,888,"['Light Wash ', 'Plain ', 'Tapered/Carrot ', 'Mom Fit ', 'Zipper Fly ', 'Button, Pocket, Zipper ', 'High Waist ', 'Long ', 'Regular Fit ', 'Non-Stretch ', 'Denim ', '86% Cotton, 8% Viscose, 6% Polyester ', 'Machine wash, do not dry clean ', 'Unlined ', 'No ']",,,
SHEIN MOD Plant Print Lettuce Trim Tank Top,0.01,//img.ltwebstatic.com/images3_pi/2023/06/23/16875191074613c90cba9c57f968ef260c7b05dfa8_thumbnail_405x552.jpg,26,665,"['Apricot ', 'Boho ', 'Floral, All Over Print ', 'Top ', 'Notched ', 'Short Sleeve ', 'Batwing Sleeve ', 'Regular ', 'Regular Fit ', 'Non-Stretch ', 'Fabric ', '100% Polyester ', 'Hand wash or professional dry clean ', 'No ']",,,
